Pavadinimas,Veiklos vykdymo vieta,Klasė,Klasė suteikta iki,Oficialus įm. pavadinimas,El. paštas,Telefonas,Papildomas telefonas,Faksas,Svetainės adresas,Vietų skaičius,Kambarių skaičius,Priklausomybė tinklui,Priėmimo mėn.,Papildomos paslaugos,Sveikatingumo paslaugos,Pramogos,Verslo centro įranga,Inventoriaus nuoma,Pritaikyta neįgaliesiems,Pramogos neįgaliesiems,Maitinimo paslaugos,Darbo valandos
DZŪKIJOS VIEŠBUTIS,"Pulko g. 14-1, Alytus",2*,2007.03.29,"UAB ""DZŪKIJOS VIEŠBUTIS""",hoteldzukija@takas.lt,31552002,31553006,31551345,,55,32,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Garažas, Mašinų stovėjimo aikštelė",,,,,Nėra,,Kavinė,
DZŪKIJOS VIEŠBUTIS,"Pulko g. 14-1, Alytaus m.",2*,2015.02.01,"UAB ""DZŪKIJOS VIEŠBUTIS""",hoteldzukija@takas.lt,52002,53006,31551345,,55,32,,,"Garažas, Mašinų stovėjimo aikštelė, Požeminis garažas, Seifas, Skalbimas ir valymas",,,,,Nėra,,Kavinė,
ECOTEL VILNIUS,"Vilniaus m. sav., Vilnius, Slucko g. 8",2*,2013.10.04,"UAB ""Kelionių viešbučiai""",hotel@ecotel.lt,52102700,,52102707,,322,168,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Automobilių nuoma, Mašinų stovėjimo aikštelė, Seifas, Skalbimas ir valymas",,,,,Yra,,"Kavinė, Pusryčiai",Pirmadienis: 0-24; Atradienis: 0-24; Trečiadienis: 0-24; Ketvirtadienis: 0-24; Penktadienis: 0-24; Šeštadienis: 0-24; Sekmadienis: 0-24
EGLIŲ SLĖNIS,"Ievos kalno g. 28, Neringa",3*,2015.04.19,"Akcinė bendrovė ""Audėjas""",,38653170,,46953170,,48,20,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis",Mašinų stovėjimo aikštelė,,,,,,,Kavinė,
E-GUEST HOUSE,"T. Ševčenkos g. 16, Vilniaus m.",3*,2015.06.07,"UAB ""Paspara""",info@e-guesthouse.lt,52660730,,52335710,,25,14,,,"Baseinas, Požeminis garažas, Skalbimas ir valymas, Teniso kortai, Treniruoklių salė",,Sveikatingumo klubas,,,Yra,,Kavinė,
E-GUESTHOUSE,"T. Ševčenkos g. 16, Vilnius",3*,2007.05.13,"Uždaroji akcinė bendrovė ""PASPARA"" svečių namai",info@e-guesthouse.lt,52660730,,52335710,,25,14,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Automobilių nuoma, Mašinų stovėjimo aikštelė, Pirtis/Sauna, Seifas, Skalbimas ir valymas, Treniruoklių salė",Klasikinis masažas,,,,Yra,,,
ELEKTRA,"Žvejų g. 14A, Vilnius",3*,2005.03.08,"Uždaroji akcinė bendrovė ""ELEKTROS VIEŠBUTIS""",hotel.elektra@lpc.lt,52626748,,52723779,,23,14,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis",Mašinų stovėjimo aikštelė,,,,,Nėra,,Kavinė,
EMBASSY HOTEL BALATONAS,"Latvių g. 38, Vilniaus m.",4*,2011.07.22,"UAB ""Hago""",info@embassyhotel.lt,52722250,,52784942,,51,28,,,"Mašinų stovėjimo aikštelė, Seifas, Skalbimas ir valymas",,,,,Yra,,Restoranas,
EUROPA CITY VILNIUS,"Vilniaus m. sav., Vilnius, J. Jasinskio g. 14",3*,2015.07.30,"UAB ""Transmedos valda""",city@hoteleuropa.lt,52514477,,52514476,,256,128,EUROPA GROUP,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Automobilių nuoma, Mašinų stovėjimo aikštelė, Pirtis/Sauna, Seifas, Skalbimas ir valymas, Treniruoklių salė, Vaikų priežiura, Valiutos keitykla",Klasikinis masažas,Interneto kavinė,,Dviračiai,Yra,,Restoranas,
EUROPA ROYALE,"Aušros Vartų g. 6, Vilnius",4*,2015.04.19,"Uždaroji akcinė bendrovė ""SENAMIESČIO KOMFORTAS""",reservation@hoteleuropa.lt,52660770,,5262000,,76,39,GROUP EUROPA,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Automobilių nuoma, Mašinų stovėjimo aikštelė, Seifas, Skalbimas ir valymas, Vaikų priežiura","Klasikinis masažas, Relakcinis masažas",Naktinis klubas,,Dviračiai,Yra,,Restoranas,
EUROPA ROYALE DRUSKININKAI,"Vilniaus al. 7, Druskininkų m., Druskininkų sav.",4*,2013.11.08,"UAB ""Kortas""",info@kortas.lt,31342221,,31342223,,125,65,Europa Group,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Baseinas, Mašinų stovėjimo aikštelė, Pirtis/Sauna",,,,,Yra,,"Baras, Restoranas",
EUROPA ROYALE HOTEL KAUNAS,"Miško g. 11, Kaunas",4*,2013.12.22,"UAB""JUNGTINIS TURTO CENTRAS""",kaunas@europaroyale.com,37407500,,37407501,,180,91,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Mašinų stovėjimo aikštelė, Pirtis/Sauna, Seifas, Skalbimas ir valymas, Vaikų priežiura",,,Internetinis ryšys,,Yra,,"Baras, Kavinė, Restoranas",
EUROPA ROYALE MARIJAMPOLĖ,"J. Basanavičiaus a. 8, Marijampolės m., Marijampolės sav.",4*,2013.12.22,"UAB ""Noringė""",marijampole@europaroyale.com,34397778,,34331011,,88,47,,,"Mašinų stovėjimo aikštelė, Pirtis/Sauna, Seifas, Skalbimas ir valymas, Soliariumas, Treniruoklių salė",,,,,Yra,,"Baras, Restoranas",
EUROPA STAY VILNIUS,"Ąžuolyno g. 7, Vilniaus m.",3*,2013.11.08,"UAB ""Viešbučių valdymas""",ehotels@ehotels.lt,52362222,,52362233,,190,101,,,"Mašinų stovėjimo aikštelė, Pirtis/Sauna, Teniso kortai, Treniruoklių salė",,"Sporto aikštelė, Sporto salė, Sveikatingumo klubas",,,Yra,,"Kavinė, Restoranas",
EUTERPĖ,"Daržų g. 9, Klaipėdos m.",4*,2013.12.22,"UAB ""Gensina""",hotel@euterpe.lt,46474703,,46474705,,32,16,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis",Mašinų stovėjimo aikštelė,,,,,Yra,,Restoranas,
GABIJA,"Vytauto g. 40, Palangos m.",4*,2013.10.04,"UAB ""Pajūrio Gabija""",info@gabija.lt,46048251,,46057591,,112,56,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Baseinas, Mašinų stovėjimo aikštelė, Pirtis/Sauna, Treniruoklių salė",,,,,Yra,,Restoranas,
GABRIELLA,"Jaunystės g. 21, Visagino m., Visagino sav.",3*,2013.10.04,"UAB ""LAGIVA""",lagiva@gabriella.lt,38670171,,38670151,,18,10,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Baseinas, Mašinų stovėjimo aikštelė, Pirtis/Sauna",,,,,,,Kavinė,
GALIA,"Dabintos g. 3, Druskininkai",3*,2015.03.06,"Uždaroji akcinė bendrovė ""GALIA""",hotel2@galia.lt,31360510,,31360512,,124,55,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Baseinas, Pirtis/Sauna, Treniruoklių salė",,,,,,,"Kavinė, Restoranas",Pirmadienis: 0-24; Atradienis: 0-24; Trečiadienis: 0-24; Ketvirtadienis: 0-24; Penktadienis: 0-24; Šeštadienis: 0-24; Sekmadienis: 0-24
GALIA,"Druskininkų sav., Druskininkai, M. K. Čiurlionio g. 97",3*,2015.03.06,"Uždaroji akcinė bendrovė ""GALIA""",hotel4@galia.lt,31360514,,31355100,,124,55,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Baseinas, Pirtis/Sauna, Treniruoklių salė",,,,,,,"Kavinė, Restoranas",Pirmadienis: 0-24; Atradienis: 0-24; Trečiadienis: 0-24; Ketvirtadienis: 0-24; Penktadienis: 0-24; Šeštadienis: 0-24; Sekmadienis: 0-24
GAMANTA,"Plytų g. 7, Palanga",4*,2015.03.06,"Uždaroji akcinė bendrovė ""Gamanta servisas""",info@gamanta.lt,46048885,46040000,46048889,,66,33,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Automobilių nuoma, Baseinas, Mašinų stovėjimo aikštelė, Pirtis/Sauna, Skalbimas ir valymas",,,,,,,Baras,
GILĖ,"T. Ševčenkos g. 16, Vilniaus m.",2*,2011.10.06,"UAB ""Apgyvendinimo sprendimai""",info@gilehotel.lt,52032070,,52032077,,148,73,,,Mašinų stovėjimo aikštelė,,,,,Yra,,Pusryčiai,
GILIJA,"Vytauto g. 17, Šilutės m., Šilutės r.",4*,2015.04.19,"UAB ""GILIJA""",info@silutesgilija.lt,44161641,44152572,44161643,,32,16,,,"Baseinas, Pirtis/Sauna, Seifas",,,,,Yra,,Restoranas,
GRAFAITĖS SVETAINĖ,"Aušros g. 1, Ginkūnai, Šiaulių r.",3*,2015.03.06,"UAB ""Šiaulių dujotiekio komercija""",info@hotelgrafaite.com,41589120,,41502152,,44,21,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Baseinas, Mašinų stovėjimo aikštelė, Pirtis/Sauna",,,,,,,,
GRAFO ZUBOVO,"Dubysos g. 1, Bubių k., Šiaulių r.",4*,2013.10.11,"UAB ""Averita""",info@grafozubovo.lt,41430404,68688555,41552350,,26,10,,,"Mašinų stovėjimo aikštelė, Seifas, Skalbimas ir valymas",,,,,Yra,,Restoranas,
GRAND SPA LIETUVA,Druskininkų sav.,3*,2015.04.19,"UAB ""Grand Spa Lietuva""",info@grandspa.lt,31352414,,31355490,,358,179,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Baseinas, Pirtis/Sauna, Seifas, Skalbimas ir valymas, Teniso kortai, Treniruoklių salė, Vaikų priežiura",,,,Sporto inventorius,Yra,,,
GRATA HOTEL,"Vytenio g. 9/25, Vilniaus m.",3*,2015.04.19,"UAB ""Centrum""",hotel@centrum.lt,52683300,,52132760,,162,100,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Baseinas, Mašinų stovėjimo aikštelė, Pirtis/Sauna, Seifas, Skalbimas ir valymas",,,,,Yra,,"Baras, Restoranas",
GREEN VILNIUS HOTEL,"Pilaitės pr. 20, Vilnius",3*,2015.04.19,"UAB ""Green Vilnius Hotel""",info@greenhotel.lt,52500695,,52500694,,257,126,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Mašinų stovėjimo aikštelė, Seifas, Skalbimas ir valymas",,,,,,,Restoranas,Pirmadienis: 0-24; Atradienis: 0-24; Trečiadienis: 0-24; Ketvirtadienis: 0-24; Penktadienis: 0-24; Šeštadienis: 0-24; Sekmadienis: 0-24
GRĖJAUS NAMAS,"Didžioji g. 36, Kėdainių m., Kėdainių r.",3*,2015.03.06,Arvydo Petrulio įmonė,hotel@grejausnamas.lt,34754823,,34754923,,33,18,,,"Mašinų stovėjimo aikštelė, Pirtis/Sauna, Seifas, Skalbimas ir valymas",,,"Fakso aparatas, Internetinis ryšys, Kopijavimo aparatas",,,,"Baras, Restoranas",
GROTTHUSS HOTEL,"Ligoninės g. 7, Vilnius",4*,2009.08.20,"Uždaroji akcinė bendrovė ""EDAMA""",info@grotthusshotel.com,52660322,,52660323,,41,21,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Automobilių nuoma, Mašinų stovėjimo aikštelė, Pirtis/Sauna, Seifas, Skalbimas ir valymas, Valiutos keitykla","Klasikinis masažas, Relakcinis masažas",Interneto kavinė,,,Yra,,Restoranas,
GROŽIO SALA,"Č. Sugiharos g. 3, Vilniaus m.",3*,2009.08.20,"UAB ""Grožio terapijos ir chirurgijos klinika""",info@sugihara.lt,52705719,,52705718,,16,10,,,"Požeminis garažas, Seifas, Skalbimas ir valymas, Treniruoklių salė",,,,,Nėra,,Kavinė,
HBH JUOZO ALAUS BRAVORO VIEŠBUTIS,"Žibininkai, Kretingos r.",2*,2008.05.12,"UAB ""Žibosa""",info@hbhjuozas.lt,44544423,,44544423,,30,11,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Baseinas, Mašinų stovėjimo aikštelė, Pirtis/Sauna",,"Sporto aikštelė, Vaikų žaidimo aikštelė",,,Nėra,,,
HERMIS,"Savanorių pr. 404, Kauno m.",4*,2015.04.20,"UAB ""Dileksima""",hermis.hotel@takas.lt,490304,,490313,,23,12,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Baseinas, Mašinų stovėjimo aikštelė, Pirtis/Sauna, Seifas, Skalbimas ir valymas, Treniruoklių salė",,,,,Yra,,Restoranas,
HOLIDAY INN VILNIUS,"Šeimyniškių g. 1, Vilniaus m.",4*,2013.10.04,"AB ""Valmeda""",,2103000,,2103001,,268,134,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Mašinų stovėjimo aikštelė, Pirtis/Sauna, Požeminis garažas, Seifas, Skalbimas ir valymas, Treniruoklių salė, Valiutos keitykla",,,,,Yra,,"Baras, Restoranas",
HOTEL TILTO,"Tilto g. 8, Vilniaus m.",3*,2013.10.04,"UAB A.C. ""Property Partners""",info@hoteltilto.lt,52100021,,52100020,,74,35,,,"Pirtis/Sauna, Skalbimas ir valymas",,,,,Yra,,"Baras, Kavinė",
IBIS KAUNAS CENTRE,"Vytauto pr. 28, LT-44328 Kaunas",2*,2015.07.30,"UAB ""Doriteksas""",H8622@accor.com,37265600,,37265666,,166,125,ACCOR,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis",,,,Internetinis ryšys,,Yra,,Restoranas,Pirmadienis: 0-24; Atradienis: 0-24; Trečiadienis: 0-24; Ketvirtadienis: 0-24; Penktadienis: 0-24; Šeštadienis: 0-24; Sekmadienis: 0-24
INFO HOTEL,"Vytauto g. 116, Palangos m.",3*,2015.05.14,"UAB ""Palangos Tauras""",info@feliksas.lt,46040011,,46040012,,35,11,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis",Mašinų stovėjimo aikštelė,,,,,Nėra,,Baras,
IVOLITA,"Šv. Jokūbo g. 10, Druskininkų m., Druskininkų sav.",3*,2015.03.06,"UAB "" Poilsio investicija""",hotel@ivolita.lt,31340030,,31340029,,54,27,,,Mašinų stovėjimo aikštelė,,,,,Yra,,Kavinė,
JEREVAN,"M. K. Čiurlionio g. 128, Druskininkų m., Druskininkų sav.",3*,2009.08.20,Siranuš Gasparian įmonė,martingass@takas.lt,31355554,,31355554,,20,10,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis",,,,,,,,,Pirmadienis: 0-24; Atradienis: 0-24; Trečiadienis: 0-24; Ketvirtadienis: 0-24; Penktadienis: 0-24; Šeštadienis: 0-24; Sekmadienis: 0-24
JERUZALĖS VIEŠBUTIS,"Kalvarijų g. 247, Vilniaus m.",2*,2015.02.01,"UAB ""Jeruzalės viešbutis""",jeruzale@takas.lt,52714040,52762627,,,61,29,,,"Baseinas, Mašinų stovėjimo aikštelė, Pirtis/Sauna, Seifas, Skalbimas ir valymas",,,,,Nėra,,Kavinė,Pirmadienis: 0-24; Atradienis: 0-24; Trečiadienis: 0-24; Ketvirtadienis: 0-24; Penktadienis: 0-24; Šeštadienis: 0-24; Sekmadienis: 0-24
JUKNAIČIAI,"Beržų g. 3, Juknaičiai, Juknaičių sen., Šilutės raj.",3*,2007.05.12,"Žemės ūkio bendrovė ""Turizmo ir sveikatingumo bendrovė ""Juknaičiai""",tsab@one.lt,44158973,,44158963,,50,24,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Baseinas, Mašinų stovėjimo aikštelė, Pirtis/Sauna, Treniruoklių salė",,,,,,,"Baras, Restoranas",
JŪRAGIS,"Klaipėdos m. sav., Klaipėda, Debreceno g. 27",1*,2015.05.14,"UAB viešbutis ""Jūragis""",,46300944,,46343142,,32,1,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis",Mašinų stovėjimo aikštelė,,,,,Nėra,,Kavinė,Pirmadienis: 0-24; Atradienis: 0-24; Trečiadienis: 0-24; Ketvirtadienis: 0-24; Penktadienis: 0-24; Šeštadienis: 0-24; Sekmadienis: 0-24
JŪRATĖ,"Pamario g. 3, Neringa",2*,2007.03.08,Akcinė bendrovė ”Jūratė”,jurate-nida@takas.lt,46952618,,46951118,,226,118,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Baseinas, Mašinų stovėjimo aikštelė, Pirtis/Sauna, Treniruoklių salė",,,,,Yra,,"Kavinė, Valgykla",
JURBARKAS,"Dariaus ir Girėno g. 98, Jurbarko m., Jurbarko r.",2*,2009.12.29,Tado Raičiūno įmonė,info@hoteljurbarkas.lt,44751646,,44751646,,71,27,,,"Mašinų stovėjimo aikštelė, Pirtis/Sauna, Seifas, Skalbimas ir valymas",,,,,Yra,,Kavinė,
KARALIŠKOJI REZIDENCIJA,Pakalnės g. 3,4*,2012.04.28,"UAB ""Senjorų rezidencija""",info@karaliskojirezidencija.lt,31962030,,31962031,,147,78,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Baseinas, Garažas, Seifas, Skalbimas ir valymas, Vaikų priežiura","Klasikinis masažas, Manualinė kineziterapija, Vaistažolių vonios (mineralinio vandens pagrindu)",Sporto aikštelė,,Sporto inventorius,Yra,,,
KARALIŠKOJI REZIDENCIJA,"Pakalnės g. 3, Birštonas",4*,2012.04.28,"UAB ""Senjorų rezidencija""",,31962030,,31962031,,147,78,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Baseinas, Garažas, Seifas, Skalbimas ir valymas, Vaikų priežiura","Klasikinis masažas, Manualinė kineziterapija, Vaistažolių vonios (mineralinio vandens pagrindu)",Sporto aikštelė,,Sporto inventorius,Yra,,,
KAROLINA,"Sausio 13-osios g. 2, Vilnius",3*,2013.10.11,"UAB ""KAROLINOS TURAS""",info@karolina.lt,52168945,,52169341,,,100,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Baseinas, Biliardas, Mašinų stovėjimo aikštelė, Pirtis/Sauna, Skalbimas ir valymas, Teniso kortai, Treniruoklių salė, Valiutos keitykla",,"Boulingas, Interneto kavinė",,,,,"Banketinė salė, Restoranas",Pirmadienis: 0-24; Atradienis: 0-24; Trečiadienis: 0-24; Ketvirtadienis: 0-24; Penktadienis: 0-24; Šeštadienis: 0-24; Sekmadienis: 0-24
KAUNAS,"Kauno m. sav., Kaunas, Laisvės al. 79",4*,2015.02.01,"UAB ""Kauno viešbutis""",kaunas@kaunashotel.lt,37750850,,37750851,,73,57,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Automobilių nuoma, Baseinas, Mašinų stovėjimo aikštelė, Pirtis/Sauna, Seifas, Skalbimas ir valymas, Treniruoklių salė, Valiutos keitykla",,Sveikatingumo klubas,"Fakso aparatas, Internetinis ryšys, Kopijavimo aparatas",,Yra,,"Baras, Restoranas",Pirmadienis: 0-24; Atradienis: 0-24; Trečiadienis: 0-24; Ketvirtadienis: 0-24; Penktadienis: 0-24; Šeštadienis: 0-24; Sekmadienis: 0-24
KAUNAS CITY,"Laisvės al. 90, Kauno m.",2*,2013.11.08,"UAB ""R. Meškos firma""",info@kaunascityhotel.com,220220,,788508,,95,44,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Mašinų stovėjimo aikštelė, Seifas",,Interneto kavinė,,,Yra,,Pusryčiai,Pirmadienis: 0-24; Atradienis: 0-24; Trečiadienis: 0-24; Ketvirtadienis: 0-24; Penktadienis: 0-24; Šeštadienis: 0-24; Sekmadienis: 0-24
KERPĖ,"Vytauto g. 76, Palangos m.",3*,2015.06.07,"UAB ""Rada""",info@kerpehotel.lt,46052379,,46052349,,66,23,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Mašinų stovėjimo aikštelė, Pirtis/Sauna",,,,,,,Restoranas,
KETURI KALNAI,"Liudiškių g. 18, Anykščių m., Anykščių r.",3*,2012.03.31,"UAB ""KETURI KALNAI""",info@keturikalnai.lt,38158520,,38158640,,55,27,,,"Baseinas, Mašinų stovėjimo aikštelė, Pirtis/Sauna, Seifas, Skalbimas ir valymas, Teniso kortai, Treniruoklių salė",,,,,Yra,,"Kavinė, Restoranas",
KLAIPĖDA,"Naujojo Sodo g. 1, Klaipėda",4*,2008.05.12,Akcinė bendrovė ''KLAIPĖDOS'' VIEŠBUTIS,hotel@klaipedahotel.lt,46404372,,46404373,,307,605,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Automobilių nuoma, Baseinas, Mašinų stovėjimo aikštelė, Pirtis/Sauna, Seifas, Skalbimas ir valymas, Treniruoklių salė",,"Kazino, Naktinis klubas, Sveikatingumo klubas",,,Yra,,"Banketinė salė, Kavinė, Restoranas",Pirmadienis: 0-24; Atradienis: 0-24; Trečiadienis: 0-24; Ketvirtadienis: 0-24; Penktadienis: 0-24; Šeštadienis: 0-24; Sekmadienis: 0-24
KUPIŠKIO VERSLO IR TECHNOLOGIJOS MOKYKLOS VIEŠBUTIS,"Smilgių k., Kupiškio r.",2*,2013.10.04,Kupiškio technologijos ir verslo mokykla,,45935412,,45935355,,55,29,,,Treniruoklių salė,,Sporto aikštelė,,,,,Kavinė,
KURĖNAS,"L. Rėzos g. 10, Neringa",3*,2012.07.20,L.Kareivos individuali įmonė,,46953101,,46953101,,18,7,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis",Mašinų stovėjimo aikštelė,,,,,,,Kavinė,
KURŠIŲ KAIMAS,"Vytauto g. 79/Gintaro g.30, Palangos m.",3*,2015.03.06,"UAB ""BALTIJOS ENERGIJA""",info@kursiukaimas.lt,46045644,,46045644,,152,70,,,"Mašinų stovėjimo aikštelė, Pirtis/Sauna, Seifas, Skalbimas ir valymas",,,,,Yra,,,
LAIMA,"Draugystės g. 2, Druskininkų m., Druskininkų sav.",2*,2008.07.20,"A. Vasiliausko visuomeninio maitinimo įmonė ""Laima""",hotel.laima@one.lt,31352847,,31353754,,16,10,,,"Baseinas, Požeminis garažas, Seifas, Skalbimas ir valymas",,,,,Nėra,,Restoranas,
LAŠAS,"J. Basanavičiaus g. 29, Palangos m.",3*,2011.07.29,"L. Želvio VMĮ ""Goda""",lasashotel@gmail.com,46030320,,46030321,,28,13,,,,,,,,,,Restoranas,
LE MERIDIEN VILNIUS,"Greitkelis A2, Vilnius - Ryga 19tas m, Ežeraičių k., Vilniaus r.",5*,2015.03.06,"Uždaroji akcinė bendrovė ""VILLON""",info@lemeridien.lt,52739700,,52739730,,382,193,Le Meridien,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Baseinas, Mašinų stovėjimo aikštelė, Pirtis/Sauna, Treniruoklių salė, Turkiška pirtis, Vaikų priežiura",,,,,Yra,,"Baras, Kavinė, Restoranas",
LIETUVA,"Druskininkų sav., Druskininkai, Maironio g. 45",3*,2011.05.23,"UAB ""Lietuvos"" sanatorija",info@sanatorijalietuva.lt,31352414,,31355490,,312,160,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Baseinas, Mašinų stovėjimo aikštelė, Pirtis/Sauna, Teniso kortai, Treniruoklių salė",,,,,Yra,,"Kavinė, Valgykla",Pirmadienis: 0-24; Atradienis: 0-24; Trečiadienis: 0-24; Ketvirtadienis: 0-24; Penktadienis: 0-24; Šeštadienis: 0-24; Sekmadienis: 0-24
LIJO,"Sodo g. 5, Gargždų m., Klaipėdos r.",3*,2015.07.30,Liepa,info@lijo.lt,46470430,68779913,46452647,,26,12,,,Požeminis garažas,,"Sporto aikštelė, Sveikatingumo klubas",,,Yra,,"Kavinė, Restoranas",
LINELIS,"Paplatelės k., Žemaičių Kalvarijos sen., Plungės r.",2*,2015.03.06,SADOVALIS,info@linelis.lt,44849422,,44849422,,19,10,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis",Mašinų stovėjimo aikštelė,,,,,,,Restoranas,
LIUKRENA,"Vytauto g. 93A, Palangos m.",3*,2013.10.04,"UAB ""Liukrena""",liuka_sks@palanga.omnitel.lt,46052521,,46048954,,47,25,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Baseinas, Pirtis/Sauna",,,,,Nėra,,Restoranas,
