Existing address,Normalized address,Latitude,Longitude
"Audros g. 8a, Klaipėda","Audros gatvė 8a, Klaipėda, Lietuva",55.7374757,21.0920962
"Teatro g. 1, Klaipėda","Teatro gatvė 1, Klaipėda, Lietuva",55.7083905,21.1313968
"Šv. Jokūbo g. 10, Druskininkų m., Druskininkų sav.","Šv. Jokūbo gatvė 10, Druskininkų miestas, Druskininkų sav., Lietuva",54.0186097,23.9722411
"Dariaus ir Girėno g. 98, Jurbarko m., Jurbarko r.","Dariaus ir Girėno gatvė 98, Jurbarko miestas, Jurbarko rajono savivaldybė, Lietuva",55.077726,22.7755559
"Jaunimo g. 6, Birštono m., Birštono sav.","Jaunimo gatvė 6, Birštono miestas, Birštono sav., Lietuva",54.606649,24.0284559
"Palangos m. sav., Palanga, S. Dariaus ir S. Girėno g. 20","S. Dariaus ir S. Girėno gatvė 20, Palanga, Palangos miesto savivaldybė, Lietuva",55.9073204,21.0722755
"Ventos 31 A, Mažeikiai","Ventos 31 A, Mažeikiai, Lietuva",56.3102612,22.3286788
"J. Basanavičiaus g. 45, Palangos m.","J. Basanavičiaus gatvė 45, Palangos miestas, Lietuva",55.9197072,21.0525799
"S. Dariaus ir S. Girėno g. 11, Palangos m.","S. Dariaus ir S. Girėno gatvė 11, Palangos miestas, Lietuva",55.9119677,21.0571086
"Maironio g. 2-95/20958, Raseiniai","Maironio gatvė 2, Raseiniai, Lietuva",55.3796992,23.1154464
"Pakalnės g. 3, Birštonas","Pakalnės gatvė 3, Birštonas, Lietuva",54.6062875,23.9997481
"Taikos g. 26, Neringa","Taikos gatvė 26, Neringa, Lietuva",55.304258,21.0013692
"Neringos sav., Neringa, Skruzdynės g. 2","Skruzdynės gatvė 2, Neringa, Lietuva",55.3113246,21.010299
"T. Ševčenkos g. 16, Vilniaus m.","T. Ševčenkos gatvė 16, Vilniaus miestas, Lietuva",54.6772898,25.2658015
"Aušros Vartų g. 6, Vilnius","Aušros Vartų gatvė 6, Vilnius, Lietuva",54.6761238,25.2884037
"Pylimo g. 63, Vilnius","Pylimo gatvė 63, Vilnius, Lietuva",54.6725367,25.2866576
"Ukmergės g. 363, Vilnius","Ukmergės gatvė 363, Vilnius, Lietuva",54.7386332,25.2286319
"Šeimyniškių g. 21, Vilnius","Šeimyniškių gatvė 21, Vilnius, Lietuva",54.6945613,25.2867837
"Statybininkų pr. 7, Klaipėdos m.","Statybininkų prospektas 7, Klaipėdos miestas, Lietuva",55.6741434,21.1806361
"Vilniaus al. 13, Druskininkų m., Druskininkų sav.","Vilniaus al. 13, Druskininkų miestas, Druskininkų sav., Lietuva",54.6893865,25.2800243
"J. Gruodžio g. 21, Kauno m.","J. Gruodžio gatvė 21, Kauno miestas, Lietuva",54.8969663,23.9008
"Plungės g. 10/ A. Strazdo g. 62, Kauno m.","Plungės gatvė 10, Kauno miestas, Lietuva",54.9247984,23.9064566
"Konstitucijos pr. 20, Vilniaus m.","Konstitucijos prospektas 20, Vilniaus miestas, Lietuva",54.6959944,25.275671
"Marijampolės sav., Marijampolė, L. Giros g. 42","L. Giros gatvė 42, Marijampolė, Marijampolės sav., Lietuva",54.5522206,23.3779737
"Poilsio g. 21, Marijampolės m., Marijampolės sav.","Poilsio gatvė 21, Marijampolės miestas, Marijampolės sav., Lietuva",54.525681,23.3472639
"Bazilijonų g. 3, Vilniaus m.","Bazilijonų gatvė 3, Vilniaus miestas, Lietuva",54.674134,25.2874522
"Pensininkų km., Trakų r.","Trakų rajono savivaldybė, Lietuva",54.6388619,24.934901
"Rokiškio r. sav., Rokiškio miesto sen., Rokiškis, Panevėžio g. 7A","Panevėžio gatvė 7A, Rokiškis, Rokiškio rajono savivaldybė, Lietuva",55.7374357,24.3703332
"Vazgaikiemio k., Prienų r.","Vazgaikiemis, Prienų r., Lietuva",54.5816087,23.8858068
"Liepų g. 2, Druskininkai, Druskininkų sav.","Liepų gatvė 2, Druskininkai, Lietuva",54.0964518,23.8584375
"Liejyklos g. 11/23, Vilnius","Liejyklos gatvė 11/23, Vilnius, Lietuva",54.6834788,25.2823692
"Vytauto g. 11, Palangos m.","Vytauto gatvė 11, Palangos miestas, Lietuva",55.9113787,21.0628183
"Alytaus m. sav., Alytus, Rotušės a. 12","Rotušės a. 12, Alytus, Alytaus miesto savivaldybė, Lietuva",54.3961586,24.0482121
"Druskininkų sav., Druskininkai, M. K. Čiurlionio g. 97","M. K. Čiurlionio gatvė 97, Druskininkai, Lietuva",54.0128722,23.9867045
"Plytų g. 7, Palanga","Plytų gatvė 7, Palanga, Lietuva",55.9157266,21.0700038
"Tuščiaulių k., Vilniaus r.","Tuščiauliai, Vilniaus r., Lietuva",54.8518252,25.5408495
"Mokyklos g. 11, Ignalinos m., Ignalinos r.","Mokyklos gatvė 11, Ignalinos miestas, Lietuva",55.3442407,26.1587538
"Meilės al. 11, Palangos m.","Palangos miestas, Lietuva",55.9183386,21.0676478
"Vytauto g. 97, Palangos m.","Vytauto gatvė 97, Palangos miestas, Lietuva",55.9246224,21.0705219
"Vytauto g. 27, Druskininkų m., Druskininkų sav.","Vytauto gatvė 27, Druskininkų miestas, Lietuva",54.0125211,23.9872091
"Respublikos g. 11A, Naujosios Akmenės m., Akmenės r.","Respublikos gatvė 11A, Naujosios Akmenės miestas, Akmenės r., Lietuva",56.3191315,22.8741132
"Laisvės al. 35, Kaunas","Laisvės al. 35, Kaunas, Lietuva",54.8968721,23.8924264
"Aušros g. 1, Ginkūnai, Šiaulių r.","Aušros gatvė 1, Ginkūnai, Šiaulių r., Lietuva",55.9539716,23.3552627
"Žvejų g. 14A, Vilnius","Žvejų gatvė 14A, Vilnius, Lietuva",54.6898424,25.2876827
"A. Baranausko a. 15, Anykščių m., Anykščių r.","A. Baranausko a. 15, Anykščių miestas, Anykščių rajono savivaldybė, Lietuva",55.5250214,25.1034693
"Liudiškių g. 18, Anykščiai","Liudiškių gatvė 18, Anykščiai, Lietuva",55.520581,25.1157457
"Savanorių pr. 176, Vilniaus m.","Savanorių prospektas 176, Vilniaus miestas, Lietuva",54.6533877,25.2229447
"S. Daukanto g. 33, Palangos m.","S. Daukanto gatvė 33, Palangos miestas, Lietuva",55.9130681,21.0593434
"Č. Sugiharos g. 3, Vilniaus m.","Č. Sugiharos gatvė 3, Vilniaus miestas, Lietuva",54.7038218,25.2318252
"Gintaro g. 36, Palanga","Gintaro gatvė 36, Palanga, Lietuva",55.9214951,21.0697993
"Kauno m. sav., Kaunas, Laisvės al. 79","Laisvės al. 79, Kaunas, Lietuva",54.8968721,23.8924264
"Baraučiznos k., Vilkaviškio r.","Baraučizna, Vilkaviškio r., Lietuva",54.6358229,23.1091862
"Gintaro g. 1A, Palangos m.","Gintaro gatvė 1A, Palangos miestas, Lietuva",55.9240256,21.0578073
"Vaidilutės 6A, Vilnius","Vaidilutės 6A, Vilnius, Lietuva",54.7337846,25.295776
"S. Nėries g. 14, Palanga","S. Nėries gatvė 14, Palanga, Lietuva",55.9197146,21.0608284
Pakalnės g. 3,"Pakalnės gatvė 3, Lietuva",54.8000915,25.5217645
"Respublikos g. 45a, Rokiškis, Rokiškio r.","Respublikos gatvė 45a, Rokiškis, Rokiškio r., Lietuva",55.9603462,25.5872832
"Pamario g. 13, Neringos m., Neringos sav.","Pamario gatvė 13, Neringos miestas, Neringos sav., Lietuva",55.3112207,21.0100745
"Konstitucijos pr. 14, Vilnius","Konstitucijos prospektas 14, Vilnius, Lietuva",54.6956235,25.2769919
"Dubysos g. 1, Bubių k., Šiaulių r.","Dubysos gatvė 1, Bubiai, Šiaulių r., Lietuva",55.8698431,23.1956617
"Palangos m. sav., Palanga, Vanagupės g. 31","Vanagupės gatvė 31, Palanga, Lietuva",55.9407393,21.0768775
"Tylos g. 2, Biržai","Tylos gatvė 2, Biržai, Lietuva",56.184038,24.7657822
"Naujojo Sodo g. 1, Klaipėdos m.","Naujojo Sodo gatvė 1, Klaipėdos miestas, Lietuva",55.7109458,21.1291436
"Rodūnios kelias 8, Vilniaus m.","Rodūnios kelias 8, Vilniaus miestas, Lietuva",54.6315631,25.2785548
"T. Daugirdo g. 4, Kauno m.","T. Daugirdo gatvė 4, Kauno miestas, Lietuva",54.8953781,23.8848966
"V. Kuzmos g. 8, Kaunas","V. Kuzmos gatvė 8, Kaunas, Lietuva",54.8959753,23.8883024
Trakų r. Kranto g. 5,"Trakų r. Kranto gatvė 5, Lietuva",54.5048589,24.9787608
